"","country","region","region_code","start_date","end_date","days","year","time","population","total_deaths","covid_deaths","expected_deaths","ols_ex","ols_ex_lb","ols_ex_ub","glm_log_ex","glm_log_ex_lb","glm_log_ex_ub","glm_iden_ex","glm_iden_ex_lb","glm_iden_ex_ub","glm_sqrt_ex","glm_sqrt_ex_lb","ridge_ex","rglm_log_ex","rglm_iden_ex","rglm_sqrt_ex","lasso_ex","lglm_log_ex","lglm_iden_ex","lglm_sqrt_ex","ols_ed","ols_ed_lb","ols_ed_ub","glm_log_ed","glm_log_ed_lb","glm_log_ed_ub","glm_iden_ed","glm_iden_ed_lb","glm_iden_ed_ub","glm_sqrt_ed","glm_sqrt_ed_lb","ridge_ed","rglm_log_ed","rglm_iden_ed","rglm_sqrt_ed","lasso_ed","lglm_log_ed","lglm_iden_ed","lglm_sqrt_ed"
"1","South Africa","South Africa",0,"2019-12-30","2020-01-05",7,2020,"1",60041996,10456,0,"TBC",10191.1075471711,9855.9275036316,10526.2875907107,10189.9589417025,10098.684752775,10282.0580873218,10188.7189978608,10096.1032506302,10281.3347450913,10189.1161872641,10281.4813571508,10190.4992817863,10187.6563939521,10186.5095988285,10186.6924264683,10177.0235302553,10174.3102046153,10165.2214219635,10177.3470164762,264.892452828868,600.072496368404,0,266.041058297487,357.315247225028,173.941912678227,267.281002139247,359.896749369773,174.665254908721,266.883812735898,174.518642849216,265.500718213725,268.343606047869,269.490401171504,269.307573531652,278.976469744674,281.689795384746,290.778578036516,278.652983523776
"2","South Africa","South Africa",0,"2020-01-06","2020-01-12",7,2020,"2",60041996,9678,0,"TBC",9270.70754716979,8935.52750362996,9605.88759070961,9280.41646429166,9193.6383854853,9368.01363502285,9270.15681000319,9181.43515437862,9358.87846562776,9275.18744236095,9363.32245253578,9394.91331958284,9398.42094006518,9415.28790438897,9410.07929527459,9371.41627364925,9383.0184643937,9384.62721565734,9370.54728949159,407.292452830214,742.472496370036,72.1124092903938,397.583535708336,484.361614514695,309.986364977149,407.843189996811,496.564845621378,319.121534372243,402.812557639048,314.677547464224,283.08668041716,279.579059934817,262.712095611032,267.920704725406,306.583726350747,294.981535606299,293.372784342659,307.452710508414
"3","South Africa","South Africa",0,"2020-01-13","2020-01-19",7,2020,"3",60041996,9254,0,"TBC",9052.10754716979,8716.92750362997,9387.28759070961,9064.39518489245,8978.71041340616,9150.89765510457,9052.2322182417,8964.45987691667,9140.00455956673,9058.26464991333,9145.36538815025,9189.27131904161,9195.04646282888,9213.1686808456,9208.47830806004,9152.81755768601,9166.84836719289,9164.56222487964,9152.67679002094,201.892452830214,537.072496370034,0,189.604815107548,275.289586593837,103.102344895429,201.767781758297,289.540123083329,113.995440433266,195.73535008667,108.634611849755,64.7286809583857,58.9535371711172,40.8313191544003,45.5216919399645,101.182442313991,87.1516328071139,89.4377751203629,101.323209979057
"4","South Africa","South Africa",0,"2020-01-20","2020-01-26",7,2020,"4",60041996,8626,0,"TBC",8905.50754716979,8570.32750362997,9240.68759070961,8919.52455561555,8834.5788688544,9005.28700679823,8903.02755179339,8815.91057317743,8990.14453040935,8911.36763568753,8997.7609315333,9084.83786905187,9091.87998951667,9111.17699406785,9106.49391516083,9041.81843940275,9057.08104627571,9053.84116254721,9042.55292135155,0,55.6724963700326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","South Africa","South Africa",0,"2020-01-27","2020-02-02",7,2020,"5",60041996,9417,0,"TBC",9232.30754716979,8897.12750362997,9567.48759070961,9242.46945089337,9155.88268773226,9329.87506110729,9229.16425536812,9140.61989045076,9317.70862028548,9235.79386215859,9323.74195264178,9449.57542668279,9452.61288677461,9468.05945898934,9463.27977286714,9429.61889214406,9440.56277544763,9442.20788213353,9428.03846922709,184.692452830213,519.872496370033,0,174.53054910663,261.117312267739,87.1249388927135,187.835744631881,276.380109549242,99.2913797145193,181.206137841415,93.2580473582166,0,0,0,0,0,0,0,0
"6","South Africa","South Africa",0,"2020-02-03","2020-02-09",7,2020,"6",60041996,10095,0,"TBC",9345.30754716978,9010.12750362996,9680.4875907096,9354.13644344626,9266.98760386544,9442.10485035198,9343.18276626326,9254.14501950215,9432.22051302438,9348.57464311188,9437.05681477097,9704.07480558003,9704.80574283867,9716.57441433353,9712.36052078176,9700.21888840331,9708.14848070917,9714.14471760103,9697.51338228405,749.692452830215,1084.87249637004,414.512409290395,740.863556553737,828.01239613456,652.895149648024,751.817233736736,840.85498049785,662.779486975622,746.425356888121,657.943185229027,390.92519441997,390.194257161325,378.42558566647,382.639479218242,394.781111596689,386.851519290829,380.855282398972,397.486617715951
"7","South Africa","South Africa",0,"2020-02-10","2020-02-16",7,2020,"7",60041996,9279,0,"TBC",9007.90754716979,8672.72750362997,9343.08759070961,9020.71659134507,8935.25414681471,9106.99645296342,9006.03469190343,8918.46451718239,9093.60486662447,9013.40388918656,9100.28919457649,9480.93790797947,9483.72112520267,9498.67651223357,9493.97819342639,9463.01839979968,9473.58546356975,9475.64779574903,9461.22549406798,271.092452830211,606.272496370033,0,258.283408654928,343.745853185286,172.003547036584,272.965308096571,360.535482817613,185.395133375529,265.59611081344,178.710805423507,0,0,0,0,0,0,0,0
"8","South Africa","South Africa",0,"2020-02-17","2020-02-23",7,2020,"8",60041996,9312,0,"TBC",8959.70754716979,8624.52750362996,9294.88759070961,8973.08518390205,8887.86568488276,9059.1217928182,8957.77813575367,8870.42002223438,9045.13624927297,8965.48148683861,9052.13606350494,9440.08922244336,9443.30213001967,9459.37245424455,9454.32701083158,9419.61739705466,9430.66572323813,9432.74175701813,9418.35727529604,352.292452830214,687.472496370036,17.112409290392,338.914816097951,424.13431511724,252.8782071818,354.221864246329,441.579977765623,266.863750727034,346.518513161387,259.86393649506,0,0,0,0,0,0,0,0
"9","South Africa","South Africa",0,"2020-02-24","2020-03-01",7,2020,"9",60041996,9019,0,"TBC",9406.30754716979,9071.12750362997,9741.48759070961,9414.41685535544,9326.96571046606,9502.68795637844,9404.07988414356,9314.77962408731,9493.38014419981,9409.14823172936,9497.9159242798,9677.65800017498,9678.69450897737,9691.00849113039,9686.64708904422,9672.21584996796,9680.45152985364,9686.12299618456,9669.67169370434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","South Africa","South Africa",0,"2020-03-02","2020-03-08",7,2020,"10",60041996,9837,0,"TBC",9345.30754716978,9010.12750362996,9680.4875907096,9354.13644344618,9266.98759929196,9442.10485501171,9344.56173911942,9255.51829434897,9433.60518388987,9349.23422552001,9437.7195111732,10184.9907272098,10182.424593413,10181.7370839492,10181.7146572299,10171.4226445291,10168.7455238048,10160.0069615832,10171.9280423913,491.692452830217,826.872496370039,156.512409290397,482.863556553819,570.012400708036,394.895144988292,492.438260880584,581.481705651035,403.394816110134,487.765774479991,399.280488826804,0,0,0,0,0,0,0,0
