"","country","region","region_code","start_date","end_date","days","year","time","population","total_deaths","covid_deaths","expected_deaths","ols_ex","ols_ex_lb","ols_ex_ub","glm_log_ex","glm_log_ex_lb","glm_log_ex_ub","glm_iden_ex","glm_iden_ex_lb","glm_iden_ex_ub","glm_sqrt_ex","glm_sqrt_ex_lb","ridge_ex","rglm_log_ex","rglm_iden_ex","rglm_sqrt_ex","lasso_ex","lglm_log_ex","lglm_iden_ex","lglm_sqrt_ex","ols_ed","ols_ed_lb","ols_ed_ub","glm_log_ed","glm_log_ed_lb","glm_log_ed_ub","glm_iden_ed","glm_iden_ed_lb","glm_iden_ed_ub","glm_sqrt_ed","glm_sqrt_ed_lb","ridge_ed","rglm_log_ed","rglm_iden_ed","rglm_sqrt_ed","lasso_ed","lglm_log_ed","lglm_iden_ed","lglm_sqrt_ed"
"1","South Africa","South Africa",0,"2019-12-30","2020-01-05",7,2020,"1",60041996,10456,0,"TBC",10191.1075471711,9855.9275036316,10526.2875907107,10189.9589417025,10098.684752775,10282.0580873218,10188.7189978608,10096.1032506302,10281.3347450913,10189.1161872641,10281.4813571508,10190.5318372023,19132709.7989735,85401.1549191024,233828.865576302,10171.7601368811,13925266.7060505,86305.6040387883,228068.268805959,264.892452828868,600.072496368404,0,266.041058297487,357.315247225028,173.941912678227,267.281002139247,359.896749369773,174.665254908721,266.883812735898,174.518642849216,265.46816279775,0,0,0,284.239863118933,0,0,0
"2","South Africa","South Africa",0,"2020-01-06","2020-01-12",7,2020,"2",60041996,9678,0,"TBC",9270.70754716979,8935.52750362996,9605.88759070961,9280.41646429166,9193.6383854853,9368.01363502285,9270.15681000319,9181.43515437862,9358.87846562776,9275.18744236095,9363.32245253578,9394.09931337941,10662117.9052343,79743.5520139495,206478.230072938,9381.71368268683,7916671.50758304,80579.2453520651,201371.592347223,407.292452830214,742.472496370036,72.1124092903938,397.583535708336,484.361614514695,309.986364977149,407.843189996811,496.564845621378,319.121534372243,402.812557639048,314.677547464224,283.900686620593,0,0,0,296.28631731317,0,0,0
"3","South Africa","South Africa",0,"2020-01-13","2020-01-19",7,2020,"3",60041996,9254,0,"TBC",9052.10754716979,8716.92750362997,9387.28759070961,9064.39518489245,8978.71041340616,9150.89765510457,9052.2322182417,8964.45987691667,9140.00455956673,9058.26464991333,9145.36538815025,9188.23820957441,9099711.27625096,78260.8262107843,199481.587559986,9163.11083581205,6674827.74421886,78964.8712491022,193988.364092026,201.892452830214,537.072496370034,0,189.604815107548,275.289586593837,103.102344895429,201.767781758297,289.540123083329,113.995440433266,195.73535008667,108.634611849755,65.7617904255931,0,0,0,90.8891641879527,0,0,0
"4","South Africa","South Africa",0,"2020-01-20","2020-01-26",7,2020,"4",60041996,8626,0,"TBC",8905.50754716979,8570.32750362997,9240.68759070961,8919.52455561555,8834.5788688544,9005.28700679823,8903.02755179339,8815.91057317743,8990.14453040935,8911.36763568753,8997.7609315333,9083.69330053367,8385879.89828928,77512.6257029724,195959.598514543,9052.10755238584,6111414.96079798,78152.6329414534,190275.464287364,0,55.6724963700326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","South Africa","South Africa",0,"2020-01-27","2020-02-02",7,2020,"5",60041996,9417,0,"TBC",9232.30754716979,8897.12750362997,9567.48759070961,9242.46945089337,9155.88268773226,9329.87506110729,9229.16425536812,9140.61989045076,9317.70862028548,9235.79386215859,9323.74195264178,9448.81840455665,11115659.8319166,80130.678702383,208331.737873192,9439.90380655054,8279064.6203862,81001.6511898224,203329.065591851,184.692452830213,519.872496370033,0,174.53054910663,261.117312267739,87.1249388927135,187.835744631881,276.380109549242,99.2913797145193,181.206137841415,93.2580473582166,0,0,0,0,0,0,0,0
"6","South Africa","South Africa",0,"2020-02-03","2020-02-09",7,2020,"6",60041996,10095,0,"TBC",9345.30754716978,9010.12750362996,9680.4875907096,9354.13644344626,9266.98760386544,9442.10485035198,9343.18276626326,9254.14501950215,9432.22051302438,9348.57464311188,9437.05681477097,9703.58808141627,13452868.0632773,81953.7588147119,217050.634801807,9710.499571648,10158923.3120769,82996.5518019961,212546.629076634,749.692452830215,1084.87249637004,414.512409290395,740.863556553737,828.01239613456,652.895149648024,751.817233736736,840.85498049785,662.779486975622,746.425356888121,657.943185229027,391.411918583728,0,0,0,384.500428352005,0,0,0
"7","South Africa","South Africa",0,"2020-02-10","2020-02-16",7,2020,"7",60041996,9279,0,"TBC",9007.90754716979,8672.72750362997,9343.08759070961,9020.71659134507,8935.25414681471,9106.99645296342,9006.03469190343,8918.46451718239,9093.60486662447,9013.40388918656,9100.28919457649,9480.21347237101,11383475.9639605,80355.2822510522,209402.741653207,9473.29482019824,8493429.44838787,81246.9629513861,204460.341450563,271.092452830211,606.272496370033,0,258.283408654928,343.745853185286,172.003547036584,272.965308096571,360.535482817613,185.395133375529,265.59611081344,178.710805423507,0,0,0,0,0,0,0,0
"8","South Africa","South Africa",0,"2020-02-17","2020-02-23",7,2020,"8",60041996,9312,0,"TBC",8959.70754716979,8624.52750362996,9294.88759070961,8973.08518390205,8887.86568488276,9059.1217928182,8957.77813575367,8870.42002223438,9045.13624927297,8965.48148683861,9052.13606350494,9439.32095514025,11036580.2588894,80066.9517304429,208019.695068761,9429.88952387765,8215728.88192546,80932.2086711024,202998.991901096,352.292452830214,687.472496370036,17.112409290392,338.914816097951,424.13431511724,252.8782071818,354.221864246329,441.579977765623,266.863750727034,346.518513161387,259.86393649506,0,0,0,0,0,0,0,0
"9","South Africa","South Africa",0,"2020-02-24","2020-03-01",7,2020,"9",60041996,9019,0,"TBC",9406.30754716979,9071.12750362997,9741.48759070961,9414.41685535544,9326.96571046606,9502.68795637844,9404.07988414356,9314.77962408731,9493.38014419981,9409.14823172936,9497.9159242798,9677.14202305032,13192665.0226751,81766.209835696,216147.570553175,9682.48365349654,9948629.57952057,82790.9873402645,211590.856776339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","South Africa","South Africa",0,"2020-03-02","2020-03-08",7,2020,"10",60041996,9837,0,"TBC",9345.30754716978,9010.12750362996,9680.4875907096,9354.13644344618,9266.98759929196,9442.10485501171,9344.56173911942,9255.51829434897,9433.60518388987,9349.23422552001,9437.7195111732,10185.0139583478,19061564.4618403,85366.1442415753,233651.697487549,10166.1211977691,13869382.2719406,86267.3512945915,227880.086653999,491.692452830217,826.872496370039,156.512409290397,482.863556553819,570.012400708036,394.895144988292,492.438260880584,581.481705651035,403.394816110134,487.765774479991,399.280488826804,0,0,0,0,0,0,0,0
"11","South Africa","South Africa",0,"2020-03-09","2020-03-15",7,2020,"11",60041996,9398,0,"TBC",9126.70754716979,8791.52750362996,9461.88759070961,9138.11516404694,9052.05611995399,9224.99238237258,9125.13557326667,9037.04423611064,9213.2269104227,9131.59990906203,9219.05167634942,10178.0192172969,18967764.3977588,85322.774506966,233424.834265937,10158.7140881184,13796182.6593755,86219.8169089974,227640.327719861,271.292452830214,606.472496370036,0,259.884835953058,345.943880046007,173.007617627421,272.864426733331,360.95576388936,184.773089577302,266.400090937967,178.948323650582,0,0,0,0,0,0,0,0
"12","South Africa","South Africa",0,"2020-03-16","2020-03-22",7,2020,"12",60041996,9118,0,"TBC",9015.70754716979,8680.52750362997,9350.88759070961,9028.42457844167,8942.92286902181,9114.74375463619,9014.82595206852,8927.21738509282,9102.43451904422,9021.62044617803,9108.54524961252,9323.58477144865,10104552.8177552,79241.0423044192,204093.01982344,9307.06229261677,7472036.57633535,80031.6915754797,198852.367208218,102.292452830212,437.472496370034,0,89.5754215583256,175.07713097819,3.25624536380747,103.174047931478,190.782614907179,15.5654809557764,96.3795538219711,9.45475038747645,0,0,0,0,0,0,0,0
